respondent_id,true_persona,age,age_group,gender,locality,occupation,monthly_income_inr,income_bracket,household_size_bracket,ever_sent_homecooked_food,segment,heard_of_freeze_dry,used_freeze_dry_before,brand_used,frequency_sending_food,method_no_preservation,method_freeze_athome,method_vacuum_self,method_freezedry_service,method_none,dish_dal,dish_rice_biryani,dish_rotis,dish_sabzi,dish_nonveg_curry,dish_sweets_snacks,dish_pickles_chutneys,occasion_abroad_family,occasion_own_travel,occasion_festival_gifting,occasion_emergency_stock,occasion_elderly_parents,channel_instagram,channel_google,channel_referral,channel_kirana_partner,channel_college_rwa,channel_influencer,packaging_pref,taste_importance,price_importance,shelf_life_importance,hygiene_importance,convenience_importance,brand_trust_importance,variety_importance,speed_importance,likelihood_to_use,likely_to_use,max_price_per_kg_inr,price_bracket,min_order_qty_kg,qty_bracket,monthly_spend_inr,spend_bracket,willing_pay_extra_speed,would_recommend
R0001,Skeptical_LowIntent,39,35-44,Male,Begumpet,Salaried / Employed,97200.0,"Rs 50,000 - 1,00,000",3-4,No,Neither,No,No,,Never,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,"Sealed pouches (lightweight, compact)",2,4,2,3,2,2,1,2,1,No,285.0,Below Rs 300,5.9,3-5 kg,120.0,Below Rs 500,Maybe,No
R0002,Traveler_Budget,29,25-34,Male,Jubilee Hills,Student,76900.0,"Rs 50,000 - 1,00,000",3-4,Yes,Traveler_Student,Yes,No,,Rarely (once or twice a year),1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,"Sealed pouches (lightweight, compact)",3,4,3,3,4,3,4,4,5,Yes,304.0,Rs 300-400,9.5,6-10 kg,360.0,Below Rs 500,Yes,No
R0003,Skeptical_LowIntent,31,25-34,Male,Kondapur,Student,36600.0,"Below Rs 50,000",1-2,Yes,Traveler_Student,Yes,Yes,Desi Khana,Never,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Jars/containers (reusable),1,4,1,2,3,2,1,2,3,No,448.0,Rs 401-500,1.5,1-2 kg,100.0,Below Rs 500,No,Maybe
R0004,Convenience_Family,44,35-44,Male,Kukatpally,Salaried / Employed,57400.0,"Rs 50,000 - 1,00,000",5-6,No,Neither,Yes,Yes,Desi Khana,Occasionally (every 2-3 months),1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,Jars/containers (reusable),4,4,4,5,5,3,4,4,2,No,562.0,Rs 501-600,4.0,3-5 kg,1080.0,"Rs 500-1,500",Yes,Maybe
R0005,NRI_Quality,45,45-54,Female,Begumpet,Salaried / Employed,126600.0,"Rs 1,00,001 - 2,00,000",3-4,Yes,NRI_Family,No,No,,Occasionally (every 2-3 months),0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,"Sealed pouches (lightweight, compact)",5,3,5,4,4,4,5,3,4,Yes,737.0,Above Rs 600,6.5,6-10 kg,5880.0,"Above Rs 5,000",Maybe,Maybe
R0006,Skeptical_LowIntent,21,Under 25,Male,Kukatpally,Salaried / Employed,141900.0,"Rs 1,00,001 - 2,00,000",5-6,No,Neither,No,No,,Occasionally (every 2-3 months),0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,"Sealed pouches (lightweight, compact)",2,3,3,4,3,2,2,2,1,No,405.0,Rs 401-500,1.0,1-2 kg,200.0,Below Rs 500,No,No
R0007,Skeptical_LowIntent,51,45-54,Female,Kukatpally,Retired,23000.0,"Below Rs 50,000",5-6,Yes,Neither,Yes,Yes,Dryfii,Never,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,No strong preference,1,4,3,2,3,2,1,2,1,No,237.0,Below Rs 300,1.0,1-2 kg,100.0,Below Rs 500,No,Yes
R0008,Skeptical_LowIntent,29,25-34,Female,Ameerpet,Salaried / Employed,68800.0,"Rs 50,000 - 1,00,000",5-6,No,Neither,No,No,,Never,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,"Sealed pouches (lightweight, compact)",2,4,2,3,3,3,1,3,4,Yes,362.0,Rs 300-400,3.2,3-5 kg,100.0,Below Rs 500,Maybe,Yes
R0009,NRI_Quality,27,25-34,Female,Secunderabad,Self-employed / Business owner,64900.0,"Rs 50,000 - 1,00,000",3-4,Yes,NRI_Family,Yes,No,,Frequently (monthly or more),1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,"Sealed pouches (lightweight, compact)",4,3,5,5,4,4,5,3,4,Yes,554.0,Rs 501-600,14.1,More than 10 kg,3630.0,"Rs 3,001-5,000",No,Yes
R0010,Traveler_Budget,21,Under 25,Male,Secunderabad,Self-employed / Business owner,42000.0,"Below Rs 50,000",3-4,No,Traveler_Student,Yes,No,,Frequently (monthly or more),0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,"Sealed pouches (lightweight, compact)",3,5,4,4,4,3,4,5,4,Yes,353.0,Rs 300-400,4.7,3-5 kg,760.0,"Rs 500-1,500",Yes,Maybe
R0011,Traveler_Budget,21,Under 25,Male,Dilsukhnagar,Student,46800.0,"Below Rs 50,000",3-4,Yes,Traveler_Student,Yes,Yes,Leela Instant Foods,Rarely (once or twice a year),1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,"Sealed pouches (lightweight, compact)",4,5,3,3,4,3,4,4,4,Yes,418.0,Rs 401-500,7.5,6-10 kg,420.0,Below Rs 500,No,No
R0012,Skeptical_LowIntent,36,35-44,Female,Begumpet,Self-employed / Business owner,48500.0,"Below Rs 50,000",1-2,No,Neither,Yes,No,,Occasionally (every 2-3 months),0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Sealed pouches (lightweight, compact)",2,4,2,3,2,3,2,1,3,No,305.0,Rs 300-400,4.6,3-5 kg,530.0,"Rs 500-1,500",Maybe,Maybe
